               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.10165,             0.11431,            0.026446,             0.38001,             0.30939,             0.28827,             0.14649,            0.097817,             0.11215,            0.031758,           0.0097011,           0.0097011,           0.0097011
                  37,             0.10147,             0.11484,            0.026378,             0.38163,             0.31753,              0.2953,             0.14895,            0.097825,             0.11171,            0.031556,            0.009684,            0.009684,            0.009684
                  38,             0.10137,             0.11404,            0.026299,             0.43178,             0.29084,             0.29491,             0.15196,            0.097577,             0.11158,            0.031376,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10171,             0.11407,            0.026304,             0.39011,             0.31429,             0.29816,             0.15228,            0.097521,             0.11151,             0.03136,           0.0096484,           0.0096484,           0.0096484
                  40,             0.10175,             0.11487,            0.025997,             0.37415,              0.3204,             0.29728,             0.15108,            0.097567,             0.11166,            0.031335,           0.0096299,           0.0096299,           0.0096299
                  41,              0.1015,             0.11551,             0.02587,             0.41416,             0.30359,              0.2973,             0.15124,            0.097491,             0.11188,            0.031475,            0.009611,            0.009611,            0.009611
                  42,             0.10143,             0.11485,            0.026184,             0.38775,             0.31474,             0.30021,             0.15505,            0.097424,             0.11137,            0.031244,           0.0095916,           0.0095916,           0.0095916
                  43,             0.10161,             0.11448,            0.025951,             0.39251,             0.31897,             0.30279,             0.15547,            0.097323,              0.1118,            0.031315,           0.0095717,           0.0095717,           0.0095717
                  44,             0.10125,             0.11445,            0.025721,             0.40672,             0.31438,             0.30232,             0.15517,            0.097435,             0.11147,            0.031272,           0.0095514,           0.0095514,           0.0095514
                  45,             0.10151,             0.11376,            0.025821,              0.4236,             0.31172,              0.3074,              0.1583,            0.097256,              0.1112,            0.031027,           0.0095307,           0.0095307,           0.0095307
                  46,             0.10141,             0.11312,            0.025641,             0.39295,             0.32539,             0.30826,             0.15804,            0.097211,             0.11153,            0.030879,           0.0095095,           0.0095095,           0.0095095
                  47,             0.10138,             0.11336,            0.025719,              0.4281,             0.29779,             0.30315,             0.15575,            0.097262,             0.11162,            0.031134,           0.0094879,           0.0094879,           0.0094879
                  48,             0.10107,             0.11316,            0.025685,             0.42036,             0.31895,             0.30878,             0.15846,             0.09714,             0.11156,            0.030995,           0.0094659,           0.0094659,           0.0094659
                  49,             0.10101,              0.1131,            0.025484,             0.40944,             0.32419,             0.30957,             0.15982,            0.097034,             0.11131,            0.030884,           0.0094434,           0.0094434,           0.0094434
                  50,             0.10111,             0.11366,            0.025305,             0.41782,             0.31672,              0.3097,             0.16062,             0.09703,             0.11128,             0.03087,           0.0094205,           0.0094205,           0.0094205
                  51,             0.10093,             0.11336,            0.025314,             0.42196,             0.31859,             0.31189,             0.16051,            0.097042,             0.11139,            0.030904,           0.0093971,           0.0093971,           0.0093971
                  52,             0.10067,              0.1129,            0.025337,              0.3835,             0.33402,             0.30953,             0.16032,            0.096977,             0.11159,            0.030769,           0.0093733,           0.0093733,           0.0093733
                  53,              0.1008,             0.11344,            0.025444,             0.42326,             0.31587,             0.31041,             0.16066,             0.09689,             0.11115,            0.030871,           0.0093491,           0.0093491,           0.0093491
                  54,             0.10102,             0.11326,            0.025151,             0.40586,             0.33033,             0.31552,             0.16316,            0.096854,             0.11096,            0.030661,           0.0093245,           0.0093245,           0.0093245
                  55,             0.10079,             0.11374,            0.025123,             0.44462,              0.3096,             0.31366,             0.16267,             0.09683,             0.11119,            0.030662,           0.0092995,           0.0092995,           0.0092995
                  56,             0.10068,             0.11365,            0.025164,             0.41056,             0.32776,             0.31745,             0.16319,             0.09683,             0.11126,             0.03084,            0.009274,            0.009274,            0.009274
                  57,             0.10057,             0.11406,            0.025248,             0.42178,             0.32137,             0.31321,              0.1623,            0.096826,              0.1113,            0.030943,           0.0092481,           0.0092481,           0.0092481
                  58,             0.10064,             0.11386,            0.025247,             0.43377,             0.32033,              0.3175,             0.16423,            0.096721,             0.11116,            0.030639,           0.0092219,           0.0092219,           0.0092219
                  59,             0.10083,             0.11476,            0.025114,             0.43657,             0.32096,             0.31845,             0.16494,            0.096683,             0.11093,            0.030711,           0.0091952,           0.0091952,           0.0091952
                  60,             0.10074,             0.11297,            0.024975,               0.396,              0.3429,             0.32167,             0.16704,            0.096673,             0.11109,            0.030552,           0.0091681,           0.0091681,           0.0091681
                  61,             0.10093,             0.11229,            0.024949,             0.42006,             0.32904,             0.31922,             0.16624,            0.096636,              0.1114,            0.030593,           0.0091406,           0.0091406,           0.0091406
                  62,             0.10033,             0.11331,            0.024875,             0.41849,             0.32957,             0.32253,             0.16822,            0.096598,             0.11098,            0.030464,           0.0091127,           0.0091127,           0.0091127
                  63,             0.10047,             0.11346,            0.024924,             0.40843,             0.33821,             0.32163,             0.16798,            0.096603,             0.11104,            0.030597,           0.0090844,           0.0090844,           0.0090844
