               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.10562,             0.11816,            0.029462,             0.32266,             0.24353,              0.2255,             0.10843,             0.10083,             0.11339,            0.033763,           0.0097011,           0.0097011,           0.0097011
                  37,             0.10576,             0.11844,            0.029484,             0.32873,             0.24436,             0.22491,             0.10886,             0.10079,             0.11313,            0.033634,            0.009684,            0.009684,            0.009684
                  38,             0.10551,              0.1178,             0.02939,             0.33733,             0.24727,             0.23231,             0.11188,             0.10068,             0.11341,             0.03339,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10547,              0.1185,            0.029353,             0.28778,             0.27095,             0.23322,             0.11113,             0.10063,             0.11308,            0.033269,           0.0096484,           0.0096484,           0.0096484
                  40,             0.10547,             0.11855,            0.029152,             0.30704,              0.2631,             0.23017,             0.11062,             0.10053,             0.11286,            0.033218,           0.0096299,           0.0096299,           0.0096299
                  41,             0.10575,             0.11906,            0.029234,             0.30466,             0.25959,             0.23237,             0.11273,             0.10046,             0.11289,            0.033176,            0.009611,            0.009611,            0.009611
                  42,             0.10572,             0.11848,            0.029208,             0.31822,             0.26182,             0.23274,             0.11381,             0.10051,             0.11359,            0.033466,           0.0095916,           0.0095916,           0.0095916
                  43,             0.10538,             0.11718,            0.029044,             0.31497,             0.26095,             0.23547,             0.11439,             0.10037,             0.11262,            0.033224,           0.0095717,           0.0095717,           0.0095717
                  44,             0.10533,             0.11831,            0.028921,             0.32957,             0.25862,             0.23607,             0.11394,             0.10033,             0.11303,            0.033012,           0.0095514,           0.0095514,           0.0095514
                  45,             0.10572,             0.11872,            0.028965,             0.33475,              0.2538,             0.23668,             0.11361,             0.10032,             0.11261,             0.03321,           0.0095307,           0.0095307,           0.0095307
                  46,             0.10549,             0.11774,            0.028809,             0.35242,             0.24806,             0.23978,              0.1148,             0.10017,             0.11269,             0.03304,           0.0095095,           0.0095095,           0.0095095
                  47,             0.10585,             0.11971,            0.028804,             0.28376,             0.28888,             0.23882,             0.11569,             0.10013,             0.11298,             0.03302,           0.0094879,           0.0094879,           0.0094879
