               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.098935,             0.11152,            0.024454,             0.46928,             0.33409,             0.34074,             0.18305,            0.095629,             0.11033,            0.030191,           0.0097011,           0.0097011,           0.0097011
                  37,            0.099152,             0.11078,            0.024337,             0.47478,             0.33832,             0.34107,             0.18311,            0.095635,             0.11068,            0.030186,            0.009684,            0.009684,            0.009684
                  38,            0.099053,             0.11092,            0.024189,             0.43894,             0.35603,              0.3398,             0.18147,            0.095675,             0.11071,            0.030167,           0.0096664,           0.0096664,           0.0096664
                  39,            0.098816,             0.11175,            0.024105,             0.46538,              0.3413,             0.34146,             0.18279,            0.095658,              0.1105,            0.030131,           0.0096484,           0.0096484,           0.0096484
                  40,            0.098558,             0.10991,            0.024198,             0.44668,              0.3545,             0.34186,             0.18438,            0.095515,             0.11045,            0.030255,           0.0096299,           0.0096299,           0.0096299
                  41,            0.098826,              0.1121,            0.023988,             0.43092,             0.35733,             0.34325,             0.18436,            0.095547,             0.11023,            0.030121,            0.009611,            0.009611,            0.009611
                  42,            0.099094,             0.11044,            0.024042,             0.46247,             0.35288,             0.34638,             0.18761,            0.095444,             0.11047,            0.030087,           0.0095916,           0.0095916,           0.0095916
                  43,            0.098466,              0.1105,            0.023907,             0.47812,             0.34198,             0.34713,             0.18724,            0.095399,              0.1106,            0.030074,           0.0095717,           0.0095717,           0.0095717
                  44,            0.098564,             0.11103,            0.023699,             0.44452,             0.36331,             0.34975,             0.18864,            0.095394,             0.11083,            0.029846,           0.0095514,           0.0095514,           0.0095514
                  45,            0.098125,             0.10905,            0.023814,             0.45109,             0.35942,             0.34944,             0.18861,            0.095329,             0.11058,            0.029803,           0.0095307,           0.0095307,           0.0095307
                  46,             0.09791,             0.10887,            0.023565,             0.47672,             0.34959,             0.35053,             0.18927,             0.09528,             0.11055,            0.029845,           0.0095095,           0.0095095,           0.0095095
                  47,             0.09838,             0.11052,            0.023603,             0.45719,             0.36003,             0.35303,             0.19044,            0.095235,             0.11065,             0.02989,           0.0094879,           0.0094879,           0.0094879
                  48,            0.097787,             0.10921,            0.023538,             0.45673,              0.3545,             0.35028,             0.19088,            0.095104,             0.11028,            0.030001,           0.0094659,           0.0094659,           0.0094659
                  49,            0.098113,             0.10989,            0.023424,             0.45301,              0.3658,             0.35402,              0.1923,            0.095084,              0.1103,            0.029718,           0.0094434,           0.0094434,           0.0094434
                  50,            0.098176,             0.11063,            0.023441,             0.44764,              0.3682,             0.35326,             0.19268,            0.095103,             0.11035,            0.029709,           0.0094205,           0.0094205,           0.0094205
